customer_id,age,region,tenure_months,subscription_type,last_login_days_ago,num_support_tickets,monthly_spend,engagement_score,churned
bdd640fb-0667-4ad1-9c80-317fa3b1799d,56,West,29,Basic,71,1,12.15,100,1
23b8c1e9-3924-46de-beb1-3b9046685257,61,South,38,Basic,59,0,29.27,100,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,66,East,59,Basic,91,2,36.41,100,1
972a8469-1641-4f82-8b9d-2434e465e150,24,North,9,Basic,3,2,17.55,100,0
17fc695a-07a0-4a6e-8822-e8f36c031199,24,West,8,Basic,77,1,25.21,33.220606961775175,1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,35,South,44,Premium,61,2,110.14,100,1
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,38,West,45,Basic,52,3,13.58,100,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,68,North,8,Standard,32,5,76.19,78.33217861113702,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,54,East,44,Standard,90,1,76.56,100,0
c241330b-01a9-471f-9e8a-774bcf36d58b,44,North,15,Standard,41,1,49.1,100,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,21,South,37,Basic,14,1,13.38,100,1
371ecd7b-27cd-4130-8722-9389571aa876,23,West,28,Basic,83,4,22.61,95.98242956415463,1
1a2a73ed-562b-4f79-8374-59eef50bea63,69,North,41,Basic,69,1,29.04,100,1
5be6128e-18c2-4797-a142-ea7d17be3111,49,West,41,Standard,61,3,47.07,100,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,66,South,2,Standard,86,2,71.36,23.398209641866437,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,28,West,59,Basic,37,2,28.14,100,1
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,23,West,29,Premium,58,0,99.55,100,1
4b0dbb41-8d52-48f1-942c-3fe860e7a113,57,West,39,Premium,0,2,84.93,100,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,33,South,48,Standard,59,3,48.43,100,1
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,37,West,54,Standard,23,5,70.35,100,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,63,South,2,Standard,79,1,41.96,13.699259344852152,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,20,North,33,Standard,58,1,54.68,100,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,25,East,27,Standard,29,3,71.45,100,1
7412b293-4729-4739-a14f-f3d719db3ad0,47,North,46,Premium,98,3,104.81,100,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,38,West,23,Basic,66,0,26.87,100,1
ab9099a4-35a2-40ae-9af3-05535ec42e08,49,East,22,Basic,26,1,23.74,100,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,56,North,42,Premium,98,1,111.44,100,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,51,South,32,Standard,85,1,53.89,100,1
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,66,West,42,Premium,53,1,91.62,100,0
451b4cf3-6123-4df7-b656-af7229d4beef,52,East,40,Standard,12,2,74.12,100,0
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,43,North,26,Premium,22,2,103.85,100,0
5304317f-af42-412f-b838-b3268e944239,62,North,1,Premium,63,2,116.5,36.56870935895902,1
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,46,South,28,Basic,93,3,36.92,78.05057525520141,1
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,27,South,5,Premium,51,2,114.38,62.94881495253586,0
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,41,West,55,Premium,91,3,103.55,100,0
9132b63e-f162-47e4-a9c3-49e03602f8ac,50,West,10,Basic,28,0,30.02,82.47912200477498,0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,52,East,17,Standard,92,1,53.8,52.777628350937206,1
e27a984d-6548-41d0-bfcd-9eb1a7cad415,46,West,36,Standard,35,0,67.35,100,1
24933b83-7577-40a9-a491-f0b2ea1fca65,65,West,18,Basic,95,3,19.82,54.92084647228704,1
beb79919-3f22-4af8-a3be-d01d43cf2fde,65,North,22,Basic,18,1,19.63,100,0
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,31,East,52,Standard,15,1,60.39,100,0
956269f0-e5d7-4875-adad-d6c795a76d79,62,North,42,Premium,13,2,92.7,100,0
ff50bde4-3825-47b8-9cab-cc97663f1c97,27,South,44,Premium,6,1,90.99,100,1
7e570ddf-8270-40a8-a369-b584ff5e9ff0,39,West,17,Premium,88,1,105.9,63.79009014244056,0
dc713d96-0c0f-4195-817a-f08a1745d6d8,56,East,10,Premium,38,1,99.82,100,1
28f49481-a0a0-4dc4-a720-9bdf1c11f735,56,North,3,Standard,61,1,66.06,52.71641954448069,0
98ae4334-6c12-4ce8-ae34-0454cac5b68c,61,North,32,Standard,46,3,74.99,100,1
988c24c9-61b1-4d22-a280-1c4510435a10,48,North,53,Standard,2,1,53.81,100,1
405cacec-8774-49a9-b7d2-1e02ff01cf99,29,West,28,Basic,91,2,37.45,79.74389724497412,1
f143262f-dc5c-4eed-8da0-365bf89897b9,26,North,53,Premium,91,1,112.11,100,0
1d53434b-b881-49b9-ae27-0da702f06b90,22,East,25,Standard,55,2,48.14,100,0
c0398710-8976-4334-a281-7efdae849217,43,East,25,Premium,26,1,95.71,100,0
5715bd6f-a416-4293-84c2-e2e3444ea7c8,23,West,17,Standard,4,5,58.15,100,0
287d06ca-6f4c-469a-8b22-d3081c8eaee9,45,East,8,Basic,33,2,27.16,96.35491809975204,1
b8db0672-f42d-47cc-80d4-af5974273ca3,34,West,47,Standard,84,5,40.52,100,0
f8cda88b-436d-46e2-b83c-fe0be037e5ed,50,West,15,Basic,50,3,37.39,96.16410980120757,1
81f76d1c-2dbc-4134-830f-f46e8026695f,23,North,2,Basic,42,1,35.78,67.66598246096848,1
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,20,West,3,Standard,31,0,63.93,68.60120213672644,0
81f631d4-a392-41a7-9777-a4774c66e0a8,45,South,22,Basic,0,1,31.83,100,0
5fb8d16c-2720-497d-b2eb-d6899be578c7,64,North,22,Basic,93,0,15.11,64.81323014681419,0
f4188f3f-8a14-4e62-a95b-4715c333e861,25,North,35,Basic,78,2,36.83,100,1
eb2263dd-87c5-421e-ac24-a3c5c754108f,68,East,3,Premium,17,2,107.53,94.52479788343585,0
7d154385-52fb-443b-9954-6eb400257ad1,34,East,22,Basic,43,1,33.37,100,1
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,39,South,47,Standard,82,1,69.8,100,0
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,62,South,37,Premium,52,0,81.81,100,0
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,48,West,55,Premium,2,1,113.82,100,0
14296c07-f26b-4776-913e-4de2e0c53cb8,45,East,4,Basic,93,0,11.4,19.993323054292258,1
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,61,North,6,Premium,67,1,89.25,58.51387123371789,0
885f6e66-c2b6-42c5-ba5d-310011b7e948,55,North,11,Premium,76,1,82.12,50.980313211036155,1
a8e56e0c-20de-435d-a031-d750c40db9b4,28,East,24,Standard,34,4,73.96,100,0
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,52,North,40,Standard,59,1,56.97,100,1
9b49bd26-df57-459a-8715-a10343dac043,31,South,4,Basic,41,2,31.5,66.67441812,1
edcd465e-3638-4821-b6e0-7cc06c52c49f,40,East,15,Standard,16,2,76.31,100,0
b09b2a5c-badc-432a-8159-0f538a0f4efb,25,South,52,Standard,28,2,47.65,100,0
66245bfa-4fcc-439a-b683-d2e6337ea2df,44,East,33,Basic,85,3,12.01,100,1
5f987c71-a65e-488e-abf3-ad39fec21bbe,25,North,29,Basic,75,1,13.45,90.03485399167991,0
7394988f-847f-49b4-a64d-1bcb702753a1,44,North,20,Basic,73,1,32.96,95.13688575956651,1
1064005c-3985-43cf-bf76-be1d1efa2197,35,North,33,Basic,59,1,32.68,100,1
8dcdcd03-969b-4662-8562-8059568cc69b,59,North,28,Basic,8,4,19.72,100,1
01d74256-3860-4ab6-96a4-02f23ae8cc93,26,North,9,Basic,56,0,34.49,81.94191518470949,0
0f1259e0-a18f-46b6-b535-106e122c9a56,28,South,2,Standard,90,2,63.76,13.542569359140558,0
080aadfb-e7c9-4b26-9141-25c63a9bedd4,41,North,49,Standard,21,0,77.39,100,1
839fbc50-1223-4513-9496-f63cdc1110c1,58,North,20,Standard,91,1,41.02,60.29135352353671,1
7c441fe7-ab42-40a7-874a-493b3ceddf2d,49,South,29,Standard,92,2,45.98,78.88038820349915,0
b92da22b-21df-406f-8a0b-3c3336d8393a,45,North,50,Standard,50,0,46.42,100,0
93829b43-922f-415a-a1e3-db63ef7ddc76,40,East,28,Premium,6,1,90.77,100,0
7914c120-c8dc-419f-be35-11287900f7f9,25,South,57,Standard,66,5,65.24,100,0
1825bc54-30be-445f-a835-14f2ceb81f9d,27,East,33,Basic,18,0,17.66,100,1
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,18,East,5,Basic,1,1,14.07,100,1
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,52,West,58,Standard,23,0,47.24,100,0
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,49,North,50,Basic,13,2,25.77,100,1
0f844fef-1931-49ee-a56c-0941fbf24050,51,East,37,Basic,17,2,30.24,100,0
ccf3a171-56dc-4907-ba6c-34ab6712303a,29,East,53,Basic,84,1,16.17,100,1
